feature,clf_importance,reg_importance
cat__airport_COS,0.0,0.0
cat__airport_COU,0.0,0.0
cat__airport_CPR,0.0,0.0
cat__airport_CRP,0.0,0.0
cat__airport_CRW,0.0,3.0896073e-05
cat__airport_CSG,0.0,0.0
cat__airport_CVG,0.0,0.0
cat__airport_CWA,0.0,0.0
cat__airport_CYS,0.0,0.0
cat__airport_DAB,0.0,0.0
cat__airport_DAL,0.0,0.0
cat__airport_DAY,0.0,0.0
cat__airport_DBQ,0.0,0.0
cat__airport_DCA,0.0,0.0
cat__airport_DDC,0.0,0.0
cat__airport_DEC,0.0,0.0
cat__airport_DEN,0.0,0.0
cat__airport_DFW,0.0,0.0
cat__airport_DHN,0.0,0.0
cat__airport_DIK,0.0,0.0
cat__airport_DLG,0.0,0.0
cat__airport_DLH,0.0,0.0
cat__airport_DRO,0.0,0.0
cat__airport_DRT,0.0,0.0
cat__airport_DSM,0.0,0.0
cat__airport_DTW,0.0,0.0
cat__airport_DVL,0.0,0.0
cat__airport_EAR,0.0,0.0
cat__airport_EAT,0.0,0.0
cat__airport_EAU,0.0,0.0
cat__airport_ECP,0.0,0.0
cat__airport_EGE,0.0,0.0
cat__airport_EKO,0.0,0.0
cat__airport_ELM,0.0,0.0
cat__airport_ELP,0.0,0.00075078045
cat__airport_ERI,0.0,0.0
cat__airport_ESC,0.0,0.0
cat__airport_EUG,0.0,0.0
cat__airport_EVV,0.0,0.0
cat__airport_EWN,0.0,0.0
cat__airport_EWR,0.0,0.0
cat__airport_EYW,0.0,0.0
cat__airport_FAI,0.0,0.0
cat__airport_FAR,0.0,0.0
cat__airport_FAT,0.0,0.0
cat__airport_FAY,0.0,0.0
cat__airport_FCA,0.0,0.0
cat__airport_FLG,0.0,0.00015566449
cat__airport_FLL,0.0,1.595112e-05
cat__airport_FLO,0.0,0.0
cat__airport_FNL,0.0,0.0
cat__airport_FNT,0.0,0.0
cat__airport_FOD,0.0,0.0
cat__airport_FOE,0.0,0.0
cat__airport_FSD,0.0,2.7233244e-05
cat__airport_FSM,0.0,0.0
cat__airport_FWA,0.0,0.0
cat__airport_GCC,0.0,0.0
cat__airport_GCK,0.0,0.0
cat__airport_GEG,0.0,0.0
cat__airport_GFK,0.0,0.0
cat__airport_GGG,0.0,0.0
cat__airport_GJT,0.0,0.00022998004
cat__airport_GNV,0.0,0.0
cat__airport_GPT,0.0,0.0
cat__airport_GRB,0.0,0.0
cat__airport_GRI,0.0,0.0
cat__airport_GRK,0.0,0.0
cat__airport_GRR,0.0,0.0
cat__airport_GSO,0.0,0.0
cat__airport_GSP,0.0,0.0
cat__airport_GST,0.0,0.0
cat__airport_GTF,0.0,0.0
cat__airport_GTR,0.0,0.0
cat__airport_GUC,0.0,0.0
cat__airport_GUM,0.0,0.0
cat__airport_HDN,0.0,0.0
cat__airport_HGR,0.0,0.0
cat__airport_HHH,0.0,0.0
cat__airport_HIB,0.0,0.00026763036
cat__airport_HLN,0.0,0.0
cat__airport_HNL,0.0,0.0
cat__airport_HOB,0.0,0.0
cat__airport_HOU,0.0,0.0
cat__airport_HPN,0.0,0.0
cat__airport_HRL,0.0,0.0
cat__airport_HSV,0.0,3.3398126e-05
cat__airport_HTS,0.0,0.0
cat__airport_HVN,0.0,0.0
cat__airport_HYA,0.0,0.0
cat__airport_HYS,0.0,0.0
cat__airport_IAD,0.0,0.0
cat__airport_IAG,0.0,0.0
cat__airport_IAH,0.0,0.0
cat__airport_ICT,0.0,0.0
cat__airport_IDA,0.0,0.0
cat__airport_IFP,0.0,0.0
cat__airport_ILG,0.0,0.0
cat__airport_ILM,0.0,0.0
cat__airport_IMT,0.0,0.0
cat__airport_IND,3.8848186e-05,0.0
cat__airport_INL,0.0,0.0
cat__airport_IPT,0.0,0.0
cat__airport_ISN,0.0,0.0
cat__airport_ISP,0.0,0.0
cat__airport_ITH,0.0,0.0
cat__airport_ITO,0.0,0.0
cat__airport_IYK,0.0,0.0
cat__airport_JAC,0.0,0.0
cat__airport_JAN,0.0,0.0
cat__airport_JAX,0.0,0.00019351128
cat__airport_JFK,3.447772e-05,0.0
cat__airport_JLN,0.0,0.0
cat__airport_JMS,0.0,0.00027330755
cat__airport_JNU,0.0,0.0
cat__airport_JST,0.0,0.0
cat__airport_KOA,0.0,0.0
cat__airport_KTN,0.0,0.0
cat__airport_LAN,0.0,0.0
cat__airport_LAR,0.0,0.0
cat__airport_LAS,0.0,0.0
cat__airport_LAW,0.0,0.0
cat__airport_LAX,0.0,0.0
cat__airport_LBB,0.0,0.0
cat__airport_LBE,0.0,0.0
cat__airport_LBF,0.0,0.0
cat__airport_LBL,0.0,0.0
cat__airport_LCH,0.0,0.0
cat__airport_LCK,0.0,0.0
cat__airport_LEX,0.0,0.0
cat__airport_LFT,0.0,0.0
cat__airport_LGA,0.0,0.0
cat__airport_LGB,0.0,0.0025051287
cat__airport_LIH,0.0,0.0
cat__airport_LIT,0.0,0.0
cat__airport_LMT,0.0,0.0
cat__airport_LNK,0.0,0.0
cat__airport_LRD,0.0,0.0
cat__airport_LSE,0.0,0.0
cat__airport_LWB,0.0,0.0
cat__airport_LWS,0.0,0.0
cat__airport_LYH,0.0,0.0
cat__airport_MAF,0.0,0.0
cat__airport_MBS,0.0,0.0
cat__airport_MCI,0.0,0.0
cat__airport_MCO,0.0,9.6582706e-05
cat__airport_MCW,0.0,0.0
cat__airport_MDT,0.0,0.0
cat__airport_MDW,0.0,0.0
cat__airport_MEI,0.0,0.0
cat__airport_MEM,0.0,0.0
cat__airport_MFE,0.0,0.0
cat__airport_MFR,0.0,0.0
cat__airport_MGM,0.0,0.0
cat__airport_MHK,0.0,0.0
cat__airport_MHT,0.0,0.0
cat__airport_MIA,0.0,2.6092976e-05
cat__airport_MKE,0.0,0.0
cat__airport_MKG,0.0,0.0
cat__airport_MLB,0.0,0.0
cat__airport_MLI,0.0,0.0005386465
cat__airport_MLU,0.0,0.0
cat__airport_MMH,0.0,0.0
