ident,name,municipality,iso_region,iata_code,local_code,latitude_deg,longitude_deg,faa_code
00A,Total RF Heliport,Bensalem,US-PA,,00A,40.070985,-74.933689,00A
00AA,Aero B Ranch Airport,Leoti,US-KS,,00AA,38.704022,-101.473911,00AA
00AK,Lowell Field,Anchor Point,US-AK,,00AK,59.947733,-151.692524,00AK
00AL,Epps Airpark,Harvest,US-AL,,00AL,34.86479949951172,-86.77030181884766,00AL
00AN,Katmai Lodge Airport,King Salmon,US-AK,,00AN,59.093287,-156.456699,00AN
00AS,Fulton Airport,Alex,US-OK,,00AS,34.9428028,-97.8180194,00AS
00AZ,Cordes Airport,Cordes,US-AZ,,00AZ,34.305599212646484,-112.16500091552734,00AZ
00CA,Goldstone (GTS) Airport,Barstow,US-CA,,00CA,35.35474,-116.885329,00CA
00CL,Williams Ag Airport,Biggs,US-CA,,00CL,39.427188,-121.763427,00CL
00CN,Kitchen Creek Helibase Heliport,Pine Valley,US-CA,,00CN,32.7273736,-116.4597417,00CN
00FA,Grass Patch Airport,Bushnell,US-FL,,00FA,28.64550018310547,-82.21900177001953,00FA
00FL,River Oak Airport,Okeechobee,US-FL,,00FL,27.230899810791016,-80.96920013427734,00FL
00GA,Lt World Airport,Lithonia,US-GA,,00GA,33.76750183105469,-84.06829833984375,00GA
00GE,Caffrey Heliport,Hiram,US-GA,,00GE,33.887982,-84.736983,00GE
00HI,Kaupulehu Heliport,Kailua-Kona,US-HI,,00HI,19.832881,-155.978347,00HI
00ID,Delta Shores Airport,Clark Fork,US-ID,,00ID,48.145301818847656,-116.21399688720705,00ID
00IG,Goltl Airport,McDonald,US-KS,,00IG,39.724028,-101.395994,00IG
00IL,Hammer Airport,Polo,US-IL,,00IL,41.978401,-89.560402,00IL
00IN,St Mary Medical Center Heliport,Hobart,US-IN,,00IN,41.51139831542969,-87.2605972290039,00IN
00IS,Hayenga's Cant Find Farms Airport,Kings,US-IL,,00IS,40.02560043334961,-89.1229019165039,00IS
00KS,Hayden Farm Airport,Gardner,US-KS,,00KS,38.72779846191406,-94.93049621582033,00KS
00KY,Robbins Roost Airport,Stanford,US-KY,,00KY,37.409400939941406,-84.61969757080078,00KY
00LA,Shell Chemical East Site Heliport,Gonzales,US-LA,,00LA,30.191944,-90.980833,00LA
00LL,Ac & R Components Heliport,Chatham,US-IL,,00LL,39.66529846191406,-89.70559692382812,00LL
00LS,Lejeune Airport,Crowley,US-LA,,00LS,30.136299,-92.429398,00LS
00MD,Slater Field,Federalsburg,US-MD,,00MD,38.75709915161133,-75.75379943847656,00MD
00MI,Dow Chemical Heliport,Ludington,US-MI,,00MI,43.94940185546875,-86.41670227050781,00MI
00MN,Battle Lake Municipal Airport,Battle Lake,US-MN,,00MN,46.29999923706055,-95.70030212402344,00MN
00MO,Cooper Flying Service Airport,Alba,US-MO,,00MO,37.202800750732,-94.412399291992,00MO
00MT,Livingston Healthcare Heliport,Livingston,US-MT,,00MT,45.675,-110.52515,00MT
00N,Bucks Airport,Bridgeton,US-NJ,,00N,39.472998,-75.184346,00N
00NC,North Raleigh Airport,Louisburg,US-NC,,00NC,36.08520126342773,-78.37139892578125,00NC
00NJ,Colgate-Piscataway Heliport,New Brunswick,US-NJ,,00NJ,40.52090072631836,-74.47460174560547,00NJ
00NK,Cliche Cove Seaplane Base,Beekmantown,US-NY,,00NK,44.8118612,-73.3698057,00NK
00NR,Rodanthe Dare County Heliport,Rodanthe,US-NC,,00NR,35.594729,-75.470002,00NR
00NY,Weiss Airfield,West Bloomfield,US-NY,,00NY,42.89576,-77.495263,00NY
00OI,Miami Valley Hospital Heliport,Dayton,US-OH,,00OI,39.745091,-84.187278,00OI
00OK,Gull Bay Landing Airport,Sandsprings,US-OK,,00OK,36.198598,-96.217693,00OK
00OR,Steel Systems Heliport,Salem,US-OR,,00OR,44.932899475097656,-123.12999725341795,00OR
00PA,R J D Heliport,Coatesville,US-PA,,00PA,39.94889831542969,-75.74690246582031,00PA
00PN,Ferrell Field,Mercer,US-PA,,00PN,41.2995,-80.211111,00PN
00S,McKenzie Bridge State Airport,Blue River,US-OR,,00S,44.181466,-122.086,00S
00SC,Flying O Airport,Sumter,US-SC,,00SC,34.0093994140625,-80.26719665527344,00SC
00SD,Homan Field,Gary,US-SD,,00SD,44.809158,-96.498897,00SD
00TE,Tcjc-Northeast Campus Heliport,Fort Worth,US-TX,,00TE,32.847599029541016,-97.1894989013672,00TE
00TS,Alpine Range Airport,Everman,US-TX,,00TS,32.607601165771484,-97.24199676513672,00TS
00TT,Nowhere Airport,Goodlett,US-TX,,00TT,34.516606,-99.93694,00TT
00VA,Vaughan Airport,Alton,US-VA,,00VA,36.574964,-78.998437,00VA
00VI,Groundhog Mountain Airport,Hillsville,US-VA,,00VI,36.66329956054688,-80.49949645996094,00VI
00W,Lower Granite State Airport,Colfax,US-WA,,00W,46.672884,-117.441933,00W
00WA,Howell Airport,Longbranch,US-WA,,00WA,47.17839813232422,-122.77200317382812,00WA
00WI,Northern Lite Airport,Waupaca,US-WI,,00WI,44.304298400878906,-89.05010223388672,00WI
00WN,Hawks Run Airport,Asotin,US-WA,,00WN,46.25,-117.2490005493164,00WN
00WV,Lazy J. Aerodrome,Beverly,US-WV,,00WV,38.82889938354492,-79.86609649658203,00WV
00WY,Mountain View Regional Hospital Heliport,Casper,US-WY,,00WY,42.840361,-106.224443,00WY
00XA,Weeski Ranch Airport,,US-TX,,00XA,30.224,-96.01417,00XA
01A,Purkeypile Airport,Purkeypile,US-AK,,01A,62.940833,-152.269722,01A
01AK,Providence Seward Medical Center Heliport,Seward,US-AK,,01AK,60.1058739754,-149.446249008,01AK
01AL,Ware Island Airport,Clanton,US-AL,,01AL,32.94599914550781,-86.51390075683594,01AL
01AN,McHone Heights Airport,Wasilla,US-AK,,01AN,61.649095,-149.339025,01AN
01AR,DeQueen Medical Center Heliport,DeQueen,US-AR,,01AR,34.047456,-94.354023,01AR
01AZ,Yat Heliport,Camp Verde,US-AZ,,01AZ,34.607406,-111.8609,01AZ
01CA,SCE Lugo Substation Heliport,Hesperia,US-CA,,01CA,34.368241,-117.370059,01CA
01CL,Swansboro Country Airport,Placerville,US-CA,,01CL,38.7999,-120.734001,01CL
01CO,St Vincent General Hospital Heliport,Leadville,US-CO,,01CO,39.24530029296875,-106.24600219726562,01CO
01CT,Berlin Fairgrounds Heliport,Berlin,US-CT,,01CT,41.62730026245117,-72.72750091552734,01CT
01FA,Rybolt Ranch Airport,Orlando,US-FL,,01FA,28.589399337768555,-81.14420318603516,01FA
01FD,Advent Health Altamonte Springs Heliport,Altamonte Springs,US-FL,,01FD,28.666639,-81.3697,01FD
01FL,Cedar Knoll Flying Ranch Airport,Geneva,US-FL,,01FL,28.78190040588379,-81.1592025756836,01FL
01GA,Medical Center Heliport,Columbus,US-GA,,01GA,32.47930145263672,-84.9791030883789,01GA
01GE,The Farm Airport,Wrightsville,US-GA,,01GE,32.675106,-82.771055,01GE
01ID,Lava Hot Springs Airport,Lava Hot Springs,US-ID,,01ID,42.6082,-112.031998,01ID
01II,Myers Field,Lizton,US-IN,,01II,39.8849983215332,-86.50669860839844,01II
01IL,Hoopeston Community Memorial Hospital Heliport,Hoopeston,US-IL,,01IL,40.45859909057617,-87.65950012207031,01IL
01IN,Community Hospital Heliport,Anderson,US-IN,,01IN,40.13090133666992,-85.69580078125,01IN
01IS,William E. Koenig Airport,Dow,US-IL,,01IS,39.01620101928711,-90.31819915771484,01IS
01J,Hilliard Airpark,Hilliard,US-FL,,01J,30.685568,-81.906346,01J
01K,Caldwell Municipal Airport,Caldwell,US-KS,,01K,37.036132,-97.58533,01K
01KS,Flying N Ranch Airport,Lost Springs,US-KS,,01KS,38.54059982299805,-97.00330352783205,01KS
01KY,Lourdes Hospital Heliport,Paducah,US-KY,,01KY,37.051700592041016,-88.64689636230469,01KY
01LA,Barham Airport,Oak Ridge,US-LA,,01LA,32.638999938964844,-91.77369689941406,01LA
01LL,Schumaier Restricted Landing Area,Pinckneyville,US-IL,,01LL,38.12580108642578,-89.46389770507812,01LL
01LS,Country Breeze Airport,Slaughter,US-LA,,01LS,30.722478,-91.077372,01LS
01MA,Compaq Andover Heliport,Andover,US-MA,,01MA,42.625099182128906,-71.18009948730469,01MA
01MD,Annapolis Seaplane Base,Annapolis,US-MD,,01MD,38.999199,-76.456001,01MD
01ME,Saint Peter's Seaplane Base,Portage Lake,US-ME,,01ME,46.778900146484375,-68.50029754638672,01ME
01MI,Flow Through Terminal Heliport,Flint,US-MI,,01MI,43.04949951171875,-83.67970275878906,01MI
01MN,Barnes Seaplane Base,Cook,US-MN,,01MN,47.899600982666016,-92.55740356445312,01MN
01MO,Highway Patrol Troop C Headquarters Heliport,Town and Country,US-MO,,01MO,38.641700744628906,-90.48429870605467,01MO
01MT,Crystal Lakes Resort Airport,Fortine,US-MT,,01MT,48.789100646972656,-114.87999725341795,01MT
01MU,NWMC - Houghton Heliport,Tucson,US-AZ,,01MU,32.196747,-110.775142,01MU
01NC,Topsail Airpark,Holly Ridge,US-NC,,01NC,34.47529983520508,-77.5813980102539,01NC
01NH,Moore Airfield,Canaan,US-NH,,01NH,43.6445,-72.086998,01NH
01NJ,Albert Guido Memorial Heliport,Newark,US-NJ,,01NJ,40.739956,-74.136128,01NJ
01NM,Champion Ranch Airport,Lake Arthur,US-NM,,01NM,33.008611,-104.540278,01NM
01NR,McGee 01 Heliport,Wilmington,US-NC,,01NR,34.196264,-77.919917,01NR
01NV,Lantana Ranch Airport,Yerington,US-NV,,01NV,38.76390075683594,-119.0270004272461,01NV
01NY,Vassar Hospital Heliport,Poughkeepsie,US-NY,,01NY,41.692415,-73.93683,01NY
01OH,Atrium Medical Center Heliport,Middletown,US-OH,,01OH,39.497455,-84.313851,01OH
01OI,Avita Health System Galion Hospital Heliport,Galion,US-OH,,01OI,40.730267,-82.802022,01OI
01OL,Spring Creek Ranch East Airport,Tishomingo,US-OK,,01OL,34.391667,-96.690833,01OL
01PN,Bierly(Personal Use) Airport,Bellefonte,US-PA,,01PN,40.93059921264648,-77.73889923095703,01PN
01PS,Nort's Resort Airport,Meshoppen,US-PA,,01PS,41.59590148925781,-76.02960205078125,01PS
01SC,York Airport,York,US-SC,,01SC,35.032100677490234,-81.25279998779297,01SC
01TA,Thirty Thirty Matlock Office Center Heliport,Arlington,US-TX,,01TA,32.69419860839844,-97.11579895019533,01TA
01TE,Smith Field,Forney,US-TX,,01TE,32.737598,-96.428001,01TE
01TN,Colonial Air Park,Collierville,US-TN,,01TN,34.99589920043945,-89.73059844970703,01TN
01TT,Clute Fire & EMS Station #1 Heliport,Clute,US-TX,,01TT,29.012067,-95.402119,01TT
01U,Duckwater Airport,Duckwater,US-NV,,01U,38.849785,-115.634987,01U
01UT,La Sal Junction Airport,La Sal,US-UT,,01UT,38.30830001831055,-109.39600372314452,01UT
01VA,Pickles Airport,Berryville,US-VA,,01VA,39.125,-77.9250030518,01VA
01WA,Willapa Harbor Heliport,South Bend,US-WA,,01WA,46.66320037841797,-123.81199645996094,01WA
01WN,Whidbey General Hospital Heliport,Coupeville,US-WA,,01WN,48.2134017944336,-122.68499755859376,01WN
01WT,Odyssey Heliport,Renton,US-WA,,01WT,47.518178,-122.210908,01WT
01WY,Keyhole Airport,Pine Haven,US-WY,,01WY,44.348312,-104.8106,01WY
01XA,Ascension Seton Hays Heliport,Kyle,US-TX,,01XA,30.007222,-97.853333,01XA
01XS,Meadowood Ranch Heliport,Athens,US-TX,,01XS,32.020198822021484,-95.74549865722656,01XS
02AA,Barefoot Airport,Big Lake,US-AK,,02AA,61.506147,-149.912825,02AA
02AK,Rustic Wilderness Airport,Willow,US-AK,,02AK,61.876907,-150.097626,02AK
02AL,Bass Field,Foley,US-AL,,02AL,30.37150001525879,-87.76439666748047,02AL
02AN,Emerald Ridge Airport,Homer,US-AK,,02AN,59.704223,-151.295869,02AN
02CA,Swepi Beta Platform Ellen Heliport,Huntington Beach,US-CA,,02CA,33.58250045776367,-118.12899780273438,02CA
02CD,Shannon Field,Clarksdale,US-MS,,02CD,34.129600524902344,-90.52400207519533,02CD
02CL,Conover Air Lodge Airport,Frazier Park,US-CA,,02CL,34.761101,-119.058998,02CL
02CO,Mc Cullough Airport,Monte Vista,US-CO,,02CO,37.64329910279999,-106.04699707,02CO
02CT,Strangers Point Heliport,Ellington,US-CT,,02CT,41.91960144042969,-72.44450378417969,02CT
02FA,Osborn Airfield,Groveland,US-FL,,02FA,28.526699,-81.874802,02FA
02FD,Triple R Ranch Airport,Baker,US-FL,,02FD,30.950976,-86.635555,02FD
02GA,Doug Bolton Field,Commerce,US-GA,,02GA,34.202598571777344,-83.42900085449219,02GA
02GE,Etowah Fields Airport,Euharlee,US-GA,,02GE,34.17530059814453,-84.92440032958984,02GE
02HI,K3 Helipad Heliport,Honolulu,US-HI,,02HI,21.35839,-157.94789,02HI
02IA,Boone County Hospital Heliport,Boone,US-IA,,02IA,42.05609893798828,-93.87799835205078,02IA
02ID,Morgan Ranch Airport,Cascade,US-ID,,02ID,44.55550003051758,-115.30500030517578,02ID
02II,King Ultralightport,Westfield,US-IN,,02II,40.06230163574219,-86.21050262451172,02II
02IN,Diamond P. Field,Muncie,US-IN,,02IN,40.20890045166016,-85.54080200195312,02IN
02IS,Condell Medical Center Heliport,Libertyville,US-IL,,02IS,42.274600982666016,-87.9572982788086,02IS
02KS,JMJ Landing Airport,Saint Marys,US-KS,,02KS,39.221416,-96.057072,02KS
02KT,St Claire Healthcare Heliport,Morehead,US-KY,,02KT,38.181441,-83.443319,02KT
02KY,Boone National Guard Heliport,Frankfort,US-KY,,02KY,38.190282,-84.906442,02KY
02LA,Louisiana State Police Troop G Heliport,Bossier City,US-LA,,02LA,32.531491,-93.659939,02LA
02LS,Windy Hill Heliport,Broussard,US-LA,,02LS,30.14830017089844,-91.91899871826172,02LS
02MA,Cuttyhunk Heliport,Cuttyhunk,US-MA,,02MA,41.419601,-70.927002,02MA
02MD,Garner Field,Brandywine,US-MD,,02MD,38.672544,-76.709739,02MD
02ME,Nadeau's Airfield,Acton,US-ME,,02ME,43.537467,-70.930685,02ME
02MI,Fairplains Airpark,Greenville,US-MI,,02MI,43.15710067749024,-85.14849853515625,02MI
02MO,Troy Airpark,Troy,US-MO,,02MO,39.04999923706055,-91.03350067138672,02MO
02MS,Watts Field,Rochdale,US-MS,,02MS,34.095701,-90.846131,02MS
02NE,Benes Service Airport,Valparaiso,US-NE,,02NE,41.074501037597656,-96.90450286865234,02NE
02NH,Iroquois Landing Seaplane Base,Dummer,US-NH,,02NH,44.65710067749024,-71.21910095214844,02NH
02NJ,Penske Heliport,Piscataway,US-NJ,,02NJ,40.55730056762695,-74.46710205078125,02NJ
02NM,FFR Animas Landing Strip,Animas,US-NM,,02NM,32.09071,-108.870735,02NM
02NR,McGee 02 Heliport,Greenville,US-NC,,02NR,35.592197,-77.377372,02NR
02NV,Paiute Meadows Airport,Winnemucca,US-NV,,02NV,41.299551,-118.926709,02NV
02NY,Hansen Heliport,Durhamville,US-NY,,02NY,43.132598876953125,-75.65550231933594,02NY
02OH,Zimmerman Airport,Fremont,US-OH,,02OH,41.37639999389648,-83.08329772949219,02OH
02OI,Murtha Airport,Conneaut,US-OH,,02OI,41.80199813842773,-80.56539916992188,02OI
02OL,War Veterans Colony Heliport,Wilburton,US-OK,,02OL,34.811412,-95.307727,02OL
02OR,Rowena Dell Airport,The Dalles,US-OR,,02OR,45.68149948120117,-121.31600189208984,02OR
02P,Stottle Memorial Heliport,Honey Grove,US-PA,,26PA,40.403596,-77.556602,26PA
02PA,Lag III Heliport,Monroeville,US-PA,,02PA,40.438301,-79.769997,02PA
02PN,Peco Berwyn Heliport,Berwyn,US-PA,,02PN,40.06959915161133,-75.4552001953125,02PN
02RI,Miramar Residence Heliport,Newport,US-RI,,02RI,41.457931,-71.304886,02RI
02SC,Harpers Airport,Estill,US-SC,,02SC,32.760211,-81.225872,02SC
02T,Wise River Airport,Wise River,US-MT,,02T,45.76910018920898,-112.98200225830078,02T
02TA,Matagorda Shore Facility Heliport,Matagorda,US-TX,,02TA,28.722177,-95.875813,02TA
02TE,Baylor Medical Center Heliport,Waxahachie,US-TX,,02TE,32.39540100097656,-96.86419677734376,02TE
02TN,Ellis Field,Rockvale,US-TN,,02TN,35.780355,-86.585521,02TN
02UT,Lucin Airport,Lucin,US-UT,,02UT,41.369336,-113.841019,02UT
02VA,The Greenhouse Airport,Culpeper,US-VA,,02VA,38.43569946289063,-77.8572006225586,02VA
02VG,Northstar Aviation Heliport,Bristol,US-VA,,02VG,36.63880157470703,-82.11669921875,02VG
02WA,Cawleys South Prairie Airport,South Prairie,US-WA,,02WA,47.15230178833008,-122.09400177001952,02WA
02WI,Beer Airport,Hudson,US-WI,,02WI,45.03189849853516,-92.65579986572266,02WI
02WN,Fowler Field,Tonasket,US-WA,,02WN,48.74580001831055,-119.31900024414062,02WN
02XA,JLS Farms Airport,Honey Grove,US-TX,,02XA,33.591319,-95.882864,02XA
03AA,Trapper T Heliport,Palmer,US-AK,,03AA,61.556055,-149.284527,03AA
03AK,Joe Clouds Seaplane Base,Kenai,US-AK,,03AK,60.72722244262695,-151.13278198242188,03AK
03AL,Highland Medical Center Heliport,Scottsboro,US-AL,,03AL,34.662604,-86.046774,03AL
03AR,Hscmh Heliport,Malvern,US-AR,,03AR,34.357601165771484,-92.78849792480467,03AR
03AZ,Thompson International Aviation Airport,Hereford,US-AZ,,03AZ,31.430971,-110.088087,03AZ
03CA,Grossmont Hospital Heliport,La Mesa,US-CA,,03CA,32.779484,-117.006952,03CA
03FA,Lake Persimmon Airstrip,Lake Placid,US-FL,,03FA,27.353099822998047,-81.40809631347656,03FA
03GA,HIA Airport,Statesboro,US-GA,,03GA,32.561626,-81.85509,03GA
03GE,NGMC Lumpkin Hospital Heliport,Dahlonega,US-GA,,03GE,34.523153,-83.975058,03GE
03ID,Flying Y Ranch Airport,Council,US-ID,,03ID,44.793965,-116.531543,03ID
03II,Davis Field Ultralightport,Mount Vernon,US-IN,,03II,37.9620018005,-87.7789001465,03II
03IL,Wix Airport,Monee,US-IL,,03IL,41.40230178833008,-87.81670379638672,03IL
03IN,Heinzman Airport,Arcadia,US-IN,,03IN,40.18000030517578,-86.01249694824219,03IN
03IS,OSF St Anthony's Health Center Heliport,Alton,US-IL,,03IS,38.904999,-90.173401,03IS
03KS,Valley Grain Heliport,Highland,US-KS,,03KS,39.86470031738281,-95.26409912109376,03KS
03KY,Flying H Farms Airport,Henderson,US-KY,,03KY,37.796085,-87.53859,03KY
03LA,Damien Heliport,Carville,US-LA,,03LA,30.19960021972656,-91.12789916992188,03LA
03LS,Fmc Nr 1 Heliport,Winnsboro,US-LA,,03LS,32.15900039672852,-91.70800018310548,03LS
03M,Lakeside Lodge and Marina Seaplane Base,East Winthrop,US-ME,,03M,44.3209,-69.889503,03M
03MA,Hadley Airport,Hadley,US-MA,,03MA,42.393431,-72.551553,03MA
03MD,Upper Chesapeake Medical Center Heliport,Bel Air,US-MD,,03MD,39.518427,-76.346022,03MD
03ME,Maple Ridge Airport,Harrison,US-ME,,03ME,44.084251,-70.626905,03ME
03MI,Harold Miller Heliport,Bay City,US-MI,,03MI,43.550899505615234,-83.86219787597656,03MI
03MN,Nauerth Land Ranch Airport,Lakefield,US-MN,,03MN,43.62519836425781,-95.22470092773438,03MN
03MS,Vicksburg Medical Center Heliport,Vicksburg,US-MS,,03MS,32.31880187988281,-90.8832015991211,03MS
03MT,Cascade Field,Cascade,US-MT,,3MT7,47.267327,-111.71748,3MT7
03MU,McDonnell Airport,Archie,US-MO,,03MU,38.4925,-94.412498,03MU
03NC,Pilots Ridge Airport,Carolina Beach,US-NC,,03NC,34.104236,-77.905855,03NC
03ND,Olafson Brothers Airport,Edinburg,US-ND,,03ND,48.62639999389648,-97.8290023803711,03ND
03NE,Hyde Ranch Airport,Comstock,US-NE,,03NE,41.5463981628418,-99.3311996459961,03NE
03NH,Lorden Heliport,Milford,US-NH,,03NH,42.81539916992188,-71.12439727783203,03NH
03NM,Miner's Colfax Medical Center Heliport,Raton,US-NM,,03NM,36.862377,-104.442853,03NM
03NR,Johnston Medical Center Heliport,Clayton,US-NC,,03NR,35.63027,-78.50392,03NR
03NV,Llama Ranch Airport,Ruby Valley,US-NV,,03NV,40.58440017700195,-115.2979965209961,03NV
03NY,Talmage Field,Riverhead,US-NY,,03NY,40.958308,-72.717326,03NY
03OH,Gibbs Field,Fremont,US-OH,,03OH,41.416933,-83.018339,03OH
03OI,"Cleveland Clinic, Marymount Hospital Heliport",Garfield Heights,US-OH,,03OI,41.420312,-81.599552,03OI
03OK,Sahoma Lake Airport,Sapulpa,US-OK,,03OK,36.041259,-96.161517,03OK
03OL,Bluebird Airport,Alex,US-OK,,03OL,35.012334,-97.702735,03OL
03OR,Powwatka Ridge Airport,Troy,US-OR,,03OR,45.85540008544922,-117.48400115966795,03OR
03PA,Collegeville Heliport,Collegeville,US-PA,,03PA,40.162899017333984,-75.4656982421875,03PA
03PN,M.P. Metals Heliport,Berwick,US-PA,,03PN,41.066861,-76.180806,03PN
03PR,Sun View Field Airport,Bonner Springs,US-KS,,03PR,39.065931,-94.938417,03PR
03S,Sandy River Airport,Sandy,US-OR,,03S,45.401629,-122.228771,03S
03SC,Seacoast Medical Center Heliport,Little River,US-SC,,03SC,33.8650016784668,-78.66190338134766,03SC
03TE,Barronena Ranch Airport,Hebbronville,US-TX,,03TE,27.490812,-98.669615,03TE
03TN,Eagles Landing Heliport,Sevierville,US-TN,,03TN,35.92250061035156,-83.57939910888672,03TN
03TS,Shannon Medical Center Heliport,San Angelo,US-TX,,03TS,31.4658,-100.43397,03TS
03TT,Brazos Polo Airport,Orchard,US-TX,,03TT,29.632117,-95.932481,03TT
03TX,M D K Field Heliport,Pearland,US-TX,,03TX,29.580929,-95.30508,03TX
03UT,AZ Minerals Corporation Airport,Mexican Hat,US-UT,,03UT,37.114384,-109.99014,03UT
03WA,Spangle Field,Spangle,US-WA,,03WA,47.408199310302734,-117.37200164794922,03WA
03WN,Aerostone Ranch Airport,Goldendale,US-WA,,03WN,45.875,-120.66999816894533,03WN
03WT,Lopez Medical Clinic Heliport,Lopez Island,US-WA,,03WT,48.524894,-122.912394,03WT
03XA,Del Sol Medical Center Heliport,El Paso,US-TX,,03XA,31.7574,-106.346895,03XA
03XS,Creekside Airport,Mertzon,US-TX,,03XS,31.318099975585938,-100.75399780273438,03XS
04AA,Flying W Ranch Airport,Soldotna,US-AK,,04AA,60.535833,-150.811387,04AA
04AL,Anniston AHP (Anniston Army Depot),Anniston,US-AL,,04AL,33.62639999,-85.96720123,04AL
04AN,North 40 Airport,Sutton,US-AK,,04AN,61.737511,-148.700724,04AN
04AR,Saline Memorial Hospital Heliport,Benton,US-AR,,04AR,34.574319,-92.586047,04AR
04CA,Gray Butte Field,Palmdale,US-CA,,04CA,34.566631,-117.670666,04CA
04CL,Hunt's Sky Ranch Airport,Julian,US-CA,,04CL,33.08169937133789,-116.44100189208984,04CL
04CT,Shingle Mill Heliport,Harwinton,US-CT,,04CT,41.75510025024414,-73.05239868164062,04CT
04FA,Richards Field,Homestead,US-FL,,04FA,25.55870056152344,-80.51509857177734,04FA
04FD,Tampa General Hospital Brandon Healthplex Heliport,Brandon,US-FL,,04FD,27.929372,-82.336981,04FD
04FL,Cross Creek Farms Airport,Ormond Beach,US-FL,,04FL,29.240353,-81.222525,04FL
04GA,Verge Towers Heliport,Monroe,US-GA,,04GA,33.832365,-83.562335,04GA
04I,Columbus Southwest Airport,Columbus,US-OH,,04I,39.91151,-83.188577,04I
04IA,Middlekoop Airport,Packwood,US-IA,,04IA,41.08829879760742,-92.05460357666016,04IA
04ID,Lanham Field,Emmett,US-ID,,04ID,43.877015,-116.538365,04ID
04IL,Schertz Aerial Service - Hudson Airport,Hudson,US-IL,,04IL,40.6375007629,-89.0070037842,04IL
04IN,Lake Gage Seaplane Base,Angola,US-IN,,04IN,41.701389,-85.113056,04IN
04IS,Van Gorder Airport,Mansfield,US-IL,,04IS,40.1786003112793,-88.56900024414062,04IS
04KY,Natchez Trace Farm Airport,Hiseville,US-KY,,04KY,37.135101318359375,-85.78939819335938,04KY
04LA,Saint James Parish Hospital Heliport,Lutcher,US-LA,,04LA,30.051001,-90.703848,04LA
04LS,La National Guard Heliport,Baton Rouge,US-LA,,04LS,30.44610023498535,-91.10530090332033,04LS
04MA,Goddard Field,Haverhill,US-MA,,04MA,42.810908,-71.140959,04MA
04MD,Chesapeake City Heliport,Chesapeake City,US-MD,,04MD,39.51810073852539,-75.82140350341797,04MD
04ME,Beech Hill Airport,Mercer,US-ME,,04ME,44.66669845581055,-69.8938980102539,04ME
04MI,Rapids Airway Airport,Eaton Rapids,US-MI,,04MI,42.53450012207031,-84.62830352783203,04MI
04MN,Helblad Airport,Kelliher,US-MN,,04MN,47.985801696777344,-94.68689727783205,04MN
04MS,Nick's Flying Service Inc Airport,Rolling Fork,US-MS,,04MS,32.940537,-90.836683,04MS
04MT,Pluhar Airport,Cohagen,US-MT,,04MT,47.13749777779999,-106.488095,04MT
04NC,Western Wake Medical Center Heliport,Cary,US-NC,,04NC,35.739200592,-78.7822036743,04NC
04NE,Mc Connell Field Airport,Sarben,US-NE,,04NE,41.1599998474,-101.299003601,04NE
04NJ,Emmanuel Airport,Elmer,US-NJ,,04NJ,39.5968017578,-75.2334976196,04NJ
04NR,McGee 04 Heliport,Jacksonville,US-NC,,04NR,34.775671,-77.392244,04NR
04NV,Kingston Ranch Airport,Sandy Valley,US-NV,,04NV,35.7555007935,-115.665000916,04NV
04NY,Klaverack Airport,Hudson,US-NY,,04NY,42.262298584,-73.6961975098,04NY
04OG,Teufel Heliport,Forest Grove,US-OR,,04OG,45.530833,-123.085556,04OG
04OK,Stillwater Medical Center Heliport,Stillwater,US-OK,,04OK,36.1152992249,-97.079498291,04OK
04OR,Collins Landing Strip,Mitchell,US-OR,,04OR,44.7499008179,-120.200996399,04OR
04PA,S & C Distribution Center Heliport,Philadelphia,US-PA,,04PA,39.87929916379999,-75.2287979126,04PA
04PN,Strawbridge & Clothier Exton Heliport,Exton,US-PA,,04PN,40.0306619,-75.63021,04PN
04SC,Emergency Helipad,Easley,US-SC,,04SC,34.842188,-82.60714,04SC
04SD,Cheyenne River Health Center Heliport,Eagle Butte,US-SD,,04SD,44.993013,-101.24311,04SD
04TE,Veterans Affairs Medical Center Heliport,Houston,US-TX,,04TE,29.699687,-95.39069,04TE
04TN,Hensley Airpark,Chuckey,US-TN,,04TN,36.1833000183,-82.67890167239999,04TN
04TS,Hummingbird Heliport,Round Rock,US-TX,,04TS,30.553284,-97.605358,04TS
04TT,4D Ranch Airport,Utopia,US-TX,,04TT,29.713072,-99.545642,04TT
04TX,Pocock Airport,China Spring,US-TX,,04TX,31.732779,-97.369326,04TX
04UT,Navajo Mountain Airport,Navajo Mountain,US-UT,,04UT,37.006689,-110.794701,04UT
04V,Saguache Municipal Airport,Saguache,US-CO,,04V,38.099083,-106.174389,04V
04VA,Russell County Medical Center Heliport,Lebanon,US-VA,,04VA,36.898246,-82.078477,04VA
04VG,Manquin Flight Park Ultralightport,Manquin,US-VA,,04VG,37.706546,-77.201621,04VG
04VT,Lightning Bolt Field Airport,Cabot,US-VT,,04VT,44.4011001587,-72.26360321039999,04VT
04W,Field of Dreams Airport,Hinckley,US-MN,,04W,46.0228,-92.895401,04W
04WA,Ox Meadows Airport,Spokane,US-WA,,04WA,47.581795,-117.437131,04WA
04WI,Dutch Gap Airstrip,Bristol,US-WI,,04WI,42.523399353,-88.0167007446,04WI
04WN,Stillwater Creek Airport,Royal City,US-WA,,04WN,46.95835,-119.63864,04WN
