ident,name,municipality,iso_region,iata_code,local_code,latitude_deg,longitude_deg,faa_code
33TN,Bradley Memorial Hospital Heliport,Cleveland,US-TN,,33TN,35.178211,-84.869442,33TN
33TS,CHI Saint Joseph Health Burleson Hospital Heliport,Caldwell,US-TX,,33TS,30.521044,-96.716567,33TS
33UT,Saratoga Springs Intermountain Health Heliport,Saratoga Springs,US-UT,,33UT,40.382747,-111.925183,33UT
33VA,Fox Fire Airport,Halifax,US-VA,,33VA,36.7843017578125,-79.04969787597656,33VA
33VT,Sky View Acres Airport,Williamstown,US-VT,,33VT,44.118333,-72.565833,33VT
33WA,Franz Ranch Airport,Warden,US-WA,,33WA,47.04990005493164,-118.85099792480467,33WA
33WI,St Mary's Hospital Heliport,Green Bay,US-WI,,33WI,44.53219985961914,-88.06590270996094,33WI
33WV,Healthnet One Base Heliport,Westover,US-WV,,33WV,39.632494,-80.000784,33WV
33WY,Skidmo Airport,Etna,US-WY,,33WY,43.045926,-110.991236,33WY
33XS,Six Mile Volunteer Fire Department Heliport,Hemphill,US-TX,,33XS,31.250292,-93.778931,33XS
34AK,Cardwell Strip,Palmer,US-AK,,34AK,61.625,-149.28900146484375,34AK
34AL,Gaston Steam Plant Heliport,Wilsonville,US-AL,,34AL,33.246578,-86.469113,34AL
34AR,Woodbridge Field,Marked Tree,US-AR,,34AR,35.581454,-90.384668,34AR
34CD,Elk Park Ranch Airport,Allenspark,US-CO,,34CD,40.262683,-105.448011,34CD
34CL,Burney Service Center Heliport,Burney,US-CA,,34CL,40.893609,-121.651354,34CL
34CN,Bonanza Hills Airport,Snelling,US-CA,,34CN,37.52349853515625,-120.39800262451172,34CN
34CO,Simons Airport,Aurora,US-CO,,34CO,39.716400146484375,-104.73200225830078,34CO
34FA,Gezik Seaplane Base,Rockledge,US-FL,,34FA,28.25189971923828,-80.66889953613281,34FA
34FD,Blue Ridge Flightpark Airport,Oakhill,US-FL,,34FD,28.857200622558597,-80.90699768066406,34FD
34G,Merillat Airport,Tecumseh,US-MI,,34G,41.974998,-83.925201,34G
34GA,Cobb General Hospital Heliport,Austell,US-GA,,34GA,33.857208,-84.606677,34GA
34IA,Beck Airport,Russell,US-IA,,34IA,40.997189,-93.155608,34IA
34ID,Freeman Creek Airport,Cavendish,US-ID,,34ID,46.570333,-116.343611,34ID
34II,Burk Personal Use Airport,Anderson,US-IN,,34II,40.050816,-85.602318,34II
34IL,G. Bray Airport,Lewistown,US-IL,,34IL,40.361545,-90.109849,34IL
34IS,Jim Wehrli Memorial Airport,Marseilles,US-IL,,34IS,41.444801330566406,-88.7166976928711,34IS
34JY,Borgata Casino Heliport,Atlantic City,US-NJ,,34JY,39.379958,-74.432242,34JY
34KS,St Joseph Heliport,Wichita,US-KS,,34KS,37.67169952392578,-97.29119873046876,34KS
34KY,Lone Pine Aerodrome,Auburn,US-KY,,34KY,36.91249847412109,-86.78279876708984,34KY
34LA,Swamp Smith Airport,DeRidder,US-LA,,34LA,30.772236,-93.271465,34LA
34LL,Il Dept of Corrections/Lawrence County Heliport,Sumner,US-IL,,34LL,38.7282981873,-87.90809631350001,34LL
34MA,Crowhurst Heliport,Manchester-By-The Sea,US-MA,,34MA,42.57630157470703,-70.73889923095703,34MA
34MI,De Witt Property Airport,Spring Lake,US-MI,,34MI,43.10029983520508,-86.22339630126953,34MI
34MO,Cyanamid-Hannibal Heliport,Hannibal,US-MO,,34MO,39.83250045776367,-91.44020080566406,34MO
34MS,Colle Field,Gautier,US-MS,,34MS,30.473800659179688,-88.69619750976562,34MS
34MT,Crazy Mountain Ranch Heliport,Clyde Park,US-MT,,34MT,45.89915,-110.469988,34MT
34NC,Carolinas Medical Center Heliport,Charlotte,US-NC,,34NC,35.204368,-80.838466,34NC
34ND,Plath Farms Airport,Davenport,US-ND,,34ND,46.705694,-97.157035,34ND
34NE,Evans Ranch Airport,North Platte,US-NE,,34NE,41.2239,-100.934998,34NE
34NH,Stone Song Heliport,Milford,US-NH,,34NH,42.814701080322266,-71.66110229492188,34NH
34NK,CHS Lockport Heliport,Lockport,US-NY,,34NK,43.148652,-78.708077,34NK
34NY,Horizon Air Airport,Waterloo,US-NY,,34NY,42.980774,-76.930488,34NY
34OH,Arend Airport,Mark Center,US-OH,,34OH,41.25699996948242,-84.6416015625,34OH
34OI,Mohican Air Park,Lakeville,US-OH,,34OI,40.6945,-82.117897,34OI
34OR,Providence Medical Center Heliport,Portland,US-OR,,34OR,45.528198,-122.612,34OR
34PN,Fox Field,Newport,US-PA,,34PN,40.485556,-77.220556,34PN
34PS,Kalahari Heliport,Pocono Manor,US-PA,,34PS,41.097967,-75.387404,34PS
34SC,Toms Creek Airport,Kingstree,US-SC,,34SC,33.771833,-79.96625,34SC
34TA,JSI Airport,Princeton,US-TX,,34TA,33.167099,-96.487198,34TA
34TE,Bee Creek Airport,Maypearl,US-TX,,34TE,32.23210144042969,-97.00859832763672,34TE
34TN,Livingston Hospital Heliport,Livingston,US-TN,,34TN,36.383848,-85.328069,34TN
34TS,Canyon Lake Airport,Canyon Lake,US-TX,,34TS,29.91580009460449,-98.24749755859376,34TS
34TX,Buckmaster Heliport,Weatherford,US-TX,,34TX,32.631026,-97.79053,34TX
34U,Yuba Airport,Elk Rapids,US-MI,,34U,44.838902,-85.431198,34U
34VA,Loudoun Hospital Center Heliport,Leesburg,US-VA,,34VA,39.07720184326172,-77.47640228271484,34VA
34WA,Orbit Heliport,Washougal,US-WA,,34WA,45.567901611328125,-122.31900024414062,34WA
34WI,Thiessen Field,Baraboo,US-WI,,34WI,43.417758,-89.766201,34WI
34XA,Dell Childrens North Hospital Heliport,Austin,US-TX,,34XA,30.485456,-97.800944,34XA
34XS,Flying Hare Field Airport,Conroe,US-TX,,34XS,30.391944,-95.538611,34XS
35AK,Seal Island Heliport,Deadhorse,US-AK,,35AK,70.492202758789,-148.69500732422,35AK
35C,Wells Airport,Rockford,US-MI,,35C,43.128399,-85.505302,35C
35CA,Los Angeles County/USC Medical Center Heliport,Los Angeles,US-CA,,35CA,34.057766,-118.208096,35CA
35CO,Lone Tree Ranch Airport,Punkin Center,US-CO,,35CO,38.886555,-103.812561,35CO
35FA,Rimes Lakecrest Airport,Cross Creek,US-FL,,35FA,29.46789932250977,-82.15879821777344,35FA
35FD,Rush Airport,Trenton,US-FL,,35FD,29.69230079650879,-82.72920227050781,35FD
