airport,lat,lon,year,month,temp_mean,temp_min,temp_max,precip_sum,windspeed_max
MCI,39.2976,-94.713898,2017,4,13.435483870967742,0.3,26.4,192.3,41.1
GEG,47.6199,-117.533997,2017,12,-3.95625,-16.1,4.2,61.8,38.0
BUF,42.940498,-78.732201,2014,10,11.45625,2.1,25.2,67.5,36.7
AEX,31.3274,-92.549797,2021,12,16.9625,3.3,27.4,126.4,33.5
USA,35.387798,-80.709099,2023,1,8.26875,-3.6,20.4,133.4,26.9
JAN,32.311199,-90.075897,2023,8,29.606250000000003,18.4,38.8,26.0,21.9
RIW,43.064201,-108.459999,2022,2,-4.786206896551724,-25.9,14.6,9.4,34.9
ABQ,35.039976,-106.608925,2015,1,0.7124999999999999,-10.2,13.5,39.6,19.2
JAN,32.311199,-90.075897,2015,9,26.229032258064517,13.9,36.5,27.0,20.7
JAN,32.311199,-90.075897,2015,2,6.086206896551724,-3.9,21.1,87.6,28.4
FSM,35.336601,-94.367401,2019,5,21.521875,9.5,31.7,188.09999999999997,33.2
HSV,34.637199,-86.775101,2022,3,12.3,-3.7,26.8,180.2,35.7
PRC,34.654499,-112.419998,2019,9,21.238709677419358,8.6,34.7,6.8999999999999995,31.1
AEX,31.3274,-92.549797,2018,6,28.03225806451613,20.2,39.3,72.2,26.8
COD,44.520199,-109.024002,2020,6,16.419354838709676,3.7,31.2,58.1,27.5
ROC,43.1189,-77.672401,2015,9,19.33225806451613,8.8,31.7,94.5,23.1
IAD,38.9445,-77.455803,2020,9,19.258064516129032,6.3,31.8,118.8,21.1
PGD,26.9202,-81.990501,2018,10,25.64375,12.7,32.3,39.0,28.2
SPI,39.844101,-89.677902,2017,9,21.5,10.0,32.8,19.400000000000002,26.9
GTR,33.450298,-88.5914,2017,8,25.80625,18.8,33.9,127.1,32.8
LAW,34.567699,-98.416603,2023,6,26.43548387096774,17.0,39.9,118.2,38.3
IAD,38.9445,-77.455803,2016,5,16.403125,6.2,30.6,155.8,27.2
PVD,41.725038,-71.425668,2018,12,1.9906249999999996,-6.7,14.8,133.4,39.8
AGS,33.3699,-81.9645,2016,11,14.922580645161291,2.2,27.7,18.5,28.0
PUB,38.289101,-104.497002,2021,8,25.565625,15.1,36.5,37.1,35.7
GCC,44.3489,-105.539001,2021,1,-0.8968750000000001,-10.1,12.7,14.1,62.2
ORF,36.895341,-76.201,2014,2,4.375862068965517,-4.6,20.7,71.60000000000001,33.3
GFK,47.949299,-97.176102,2021,11,-0.05161290322580653,-16.6,15.1,47.300000000000004,38.9
YUM,32.650938,-114.609375,2019,3,18.984375,7.4,31.3,6.8999999999999995,29.7
FLG,35.1385,-111.670998,2020,11,5.070967741935483,-16.8,20.1,27.500000000000004,39.8
AMA,35.219398,-101.706001,2015,1,2.178125,-11.5,21.1,39.5,35.9
FAY,34.991199,-78.880302,2021,2,7.455172413793104,-4.8,23.9,175.59999999999997,31.5
CWA,44.777448,-89.670238,2021,8,20.878124999999997,11.7,29.0,122.5,25.5
ATW,44.258099,-88.519096,2015,12,0.88125,-11.5,13.8,147.8,42.5
PIE,27.9102,-82.687401,2020,5,24.5875,16.0,31.8,64.8,33.4
CRP,27.770399,-97.501198,2022,8,28.628125,24.1,34.9,177.2,33.9
HLN,46.6068,-111.983002,2016,1,-6.571875,-18.1,3.1,12.200000000000001,16.6
LCK,39.813801,-82.927803,2022,4,10.125806451612902,-2.3,26.6,88.89999999999999,31.8
PBI,26.683201,-80.095596,2015,5,25.234375,19.0,30.8,59.900000000000006,23.2
SJU,18.4394,-66.001801,2016,1,25.0625,21.2,30.4,9.9,25.0
JAN,32.311199,-90.075897,2016,7,28.80625,20.7,36.6,88.0,20.7
STT,18.337091,-64.977251,2017,5,26.265625,23.2,27.7,86.3,37.5
GTR,33.450298,-88.5914,2013,11,10.216129032258065,-4.3,23.1,90.79999999999998,25.6
CLE,41.411701,-81.8498,2022,5,16.9875,3.5,31.0,147.6,33.5
BQN,18.4949,-67.129402,2016,6,27.18709677419354,25.1,31.1,82.5,21.4
ATW,44.258099,-88.519096,2019,4,6.058064516129031,-5.4,21.9,102.3,37.0
CID,41.884701,-91.7108,2015,9,20.38387096774193,7.1,32.6,123.0,32.4
RST,43.908298,-92.5,2014,7,19.709375,10.2,29.7,49.099999999999994,28.5
MEM,35.0424,-89.9767,2014,8,26.740625,16.8,35.7,81.19999999999999,20.8
HYS,38.844521,-99.273148,2021,11,8.729032258064517,-3.7,23.0,6.0,35.7
FAT,36.776199,-119.718002,2017,10,17.8125,6.6,30.7,1.0,22.7
PIB,31.4671,-89.337097,2019,6,26.903225806451616,16.5,36.9,125.20000000000002,21.1
TRI,36.475201,-82.407401,2017,7,23.296875,12.8,32.6,135.39999999999998,18.0
CDV,60.491798,-145.477997,2014,11,1.5129032258064514,-7.4,7.2,161.7,33.1
MSN,43.1399,-89.337502,2014,3,-2.4281249999999996,-24.1,16.9,41.0,31.2
BRW,71.285402,-156.766008,2017,6,2.6161290322580646,-2.7,15.4,6.9,45.5
HYS,38.844521,-99.273148,2018,2,-0.04827586206896547,-12.0,22.3,14.0,38.5
TWF,42.4818,-114.487999,2020,6,18.551612903225802,4.1,34.6,35.599999999999994,37.2
OGS,44.6819,-75.4655,2021,7,20.03125,12.5,30.8,157.9,24.1
BMI,40.4771,-88.915901,2020,2,-0.8499999999999999,-23.6,15.9,66.4,30.7
SFO,37.619806,-122.374821,2018,7,16.084375,11.6,24.4,0.8,37.9
